USA_AK_Adak.NAS.704540_TMY
USA_AK_Adak.NAS.704540_TMY3
USA_AK_Ambler.701718_TMY3
USA_AK_Anaktuvuk.Pass.701625_TMY3
USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3
USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3
USA_AK_Anchorage-Merrill.Field.702735_TMY3
USA_AK_Anchorage.702730_TMY2
